feature_a,feature_b,pct_retrained_model,pct_full_truncat_model,correlation_section2,flag
relativePTClocation,CADD_phred,4.6,5.1,0.203,
cdsseqs_UC_content,CADD_phred,4.6,1.4,0.025,
phastcons_new3utr_first200_median,isoform_count,4.6,1.6,0.133,
relativePTClocation,half_life_PC1,4.6,3.1,-0.035,
mut.exon,cdsseq_AUcontentlast200,4.6,3.8,-0.056,
AmountExonsAfter,isoform_count,4.6,2.6,0.194,
mut.exon,AmountExonsAfter,4.5,3.2,0.034,
first.200,log2_CDS,4.5,5.5,0.299,
AmountExonsAfter,gnomAD_exome_ALL,4.4,2.0,0.008,
phylop_new3utr_first200_median,gnomAD_exome_ALL,4.4,1.9,-0.018,
phastcons_new3utr_first200_median,first.200,4.3,2.8,0.022,
log2_CDS,first.100,4.2,4.5,0.188,
phylop_ptc_to_ejc_median,AmountExonsAfter,4.1,0.7,0.249,
cdsseqs_AU_content,phylop_ptc_to_ejc_median,4.1,1.3,0.142,
phylop_ptc_to_ejc_median,phylop_new3utr_first200_median,4.1,0.8,0.842,LIKELY REDUNDANT (confirmed after retraining)
first.200,readthrough_score_hek293t,4.0,3.9,0.013,
phylop_ptc_to_ejc_median,first.200,4.0,0.8,0.043,
AmountExonsAfter,phastcons_new3utr_first200_median,3.9,2.1,0.249,
CADD_phred,phylop_new3utr_first200_median,3.9,0.6,0.242,
mut.exon,CADD_phred,3.8,1.9,0.279,
phylop_ptc_to_ejc_median,CADD_phred,3.7,1.2,0.3,
CADD_phred,first.100,3.7,1.1,0.087,
mut.exon,phylop_ptc_to_ejc_median,3.6,1.6,0.064,
phylop_ptc_to_ejc_median,cdsseq_AUcontentlast200,3.6,1.0,0.082,
relativePTClocation,phastcons_new3utr_first200_median,3.6,2.5,-0.241,
half_life_PC1,first.100,3.5,2.5,0.036,
cdsseq_AUcontentlast200,phylop_new3utr_first200_median,3.4,0.6,0.085,
mut.exon,phylop_new3utr_first200_median,3.2,1.5,0.049,
phylop_ptc_to_ejc_median,first.100,3.1,0.9,0.047,
last.EJC,AmountExonsAfter,3.1,0.0,0.442,
phastcons_new3utr_first200_median,gnomAD_exome_ALL,3.0,1.3,-0.014,
mut.exon,first.200,3.0,1.4,0.301,
AmountExonsAfter,cdsseq_AUcontentlast200,2.9,2.6,-0.022,
first.200,phylop_new3utr_first200_median,2.9,2.1,0.011,
first.200,threeUTR_UC_content,2.7,1.3,0.073,
phastcons_new3utr_first200_median,first.100,2.6,1.8,0.001,
mut.exon,phastcons_new3utr_first200_median,2.6,0.7,0.038,
MedianExpression_log2,first.200,2.5,2.7,0.009,
first.200,isoform_count,2.4,0.6,0.078,
phastcons_new3utr_first200_median,cdsseq_AUcontentlast200,2.4,0.8,0.048,
cdsseq_AUcontentlast200,first.100,2.2,3.0,0.004,
phastcons_new3utr_first200_median,CADD_phred,2.2,0.9,0.269,
AmountExonsAfter,first.100,1.9,0.4,0.076,
first.100,readthrough_score_hek293t,1.9,0.5,0.015,
phastcons_new3utr_first200_median,phylop_new3utr_first200_median,1.8,0.0,0.707,LIKELY REDUNDANT (confirmed after retraining)
threeUTR_UC_content,first.100,1.8,0.6,0.045,
first.200,CADD_phred,1.7,0.8,0.121,
phylop_ptc_to_ejc_median,phastcons_new3utr_first200_median,1.5,0.0,0.621,
first.100,isoform_count,1.2,0.5,0.043,
phylop_new3utr_first200_median,first.100,1.1,1.3,0.017,
first.100,gnomAD_exome_ALL,1.0,0.2,0.002,
first.200,first.100,0.5,1.7,0.671,
