feature_a,feature_b,mean_interaction,interaction_fold_std,pct_of_main_a,pct_of_main_b,verdict,correlation_section2,redundancy_flag
mut.exon,AmountExonsAfter,0.0012213018278317497,0.00027,2.3,1.9,weak interaction (near-additive),0.034,
MedianExpression_log2,first.100,0.0012131326149082034,9e-05,5.4,5.0,moderate interaction,0.006,
cdsseqs_UC_content,phylop_new3utr_first200_median,0.0012040685413332191,5e-05,2.5,4.2,weak interaction (near-additive),-0.049,
cdsseq_AUcontentlast200,log2_CDS,0.0011944410024963918,0.0001,2.3,6.3,moderate interaction,-0.061,
mut.exon,phylop_ptc_to_ejc_median,0.0011813567876098868,0.00018,2.2,1.7,weak interaction (near-additive),0.064,
AmountExonsAfter,cdsseq_AUcontentlast200,0.0011678094171020512,0.00011,1.8,2.2,weak interaction (near-additive),-0.022,
MedianExpression_log2,phylop_new3utr_first200_median,0.0011560229197088252,0.00012,5.1,4.0,moderate interaction,0.268,
relativePTClocation,phastcons_ptc_to_ejc_median,0.001126888259561407,0.00021,0.6,4.1,weak interaction (near-additive),-0.253,
relativePTClocation,first.100,0.0011219988316251439,0.00048,0.6,4.6,weak interaction (near-additive),0.42,
cdsseqs_UC_content,log2_CDS,0.0010940976111904913,0.00019,2.3,5.8,moderate interaction,-0.027,
cdsseqs_AU_content,readthrough_score_hek293t,0.0010704543862941136,0.00012,0.9,5.9,moderate interaction,-0.001,
first.200,readthrough_score_hek293t,0.001058875267702475,8e-05,2.8,5.9,moderate interaction,0.013,
cdsseqs_AU_content,phylop_ptc_to_ejc_median,0.001016466201117379,9e-05,0.9,1.5,weak interaction (near-additive),0.142,
first.200,log2_CDS,0.0010029024167493082,0.00027,2.6,5.3,moderate interaction,0.299,
CADD_phred,readthrough_score_hek293t,0.0009616665378882142,0.0003,2.6,5.3,moderate interaction,-0.051,
half_life_PC1,readthrough_score_hek293t,0.0009566347666937222,8e-05,0.6,5.3,moderate interaction,-0.003,
mut.exon,first.100,0.0009441921340855046,0.00021,1.8,3.9,weak interaction (near-additive),0.212,
cdsseq_AUcontentlast200,isoform_count,0.0008960413392396119,0.00012,1.7,3.9,weak interaction (near-additive),-0.127,
cdsseq_AUcontentlast200,MedianExpression_log2,0.0008747264495340747,0.00013,1.7,3.9,weak interaction (near-additive),-0.146,
cdsseqs_UC_content,phastcons_ptc_to_ejc_median,0.0008640128945240917,0.0002,1.8,3.2,weak interaction (near-additive),-0.012,
cdsseqs_UC_content,MedianExpression_log2,0.0008506737968803897,6e-05,1.8,3.8,weak interaction (near-additive),-0.064,
mut.exon,isoform_count,0.0008427638429514446,0.00013,1.6,3.7,weak interaction (near-additive),0.209,
relativePTClocation,threeUTR_UC_content,0.000836473138692824,0.0001,0.5,3.5,weak interaction (near-additive),0.014,
log2_CDS,threeUTR_UC_content,0.0008308792136558653,0.00012,4.4,3.5,weak interaction (near-additive),0.087,
AmountExonsAfter,isoform_count,0.0008128104437069375,7e-05,1.2,3.6,weak interaction (near-additive),0.194,
cdsseqs_UC_content,threeUTR_UC_content,0.0008047056921210987,0.0001,1.7,3.4,weak interaction (near-additive),-0.053,
MedianExpression_log2,threeUTR_UC_content,0.0007912098975919495,0.00015,3.5,3.3,weak interaction (near-additive),0.185,
cdsseqs_AU_content,threeUTR_UC_content,0.0007848857897769885,0.00015,0.7,3.3,weak interaction (near-additive),-0.067,
