feature,importance_mean,importance_std,is_categorical
utr3_all.TIAL1,0.0205834712417903,0.02980887420161736,False
ptc_pm100.HNRNPAB,0.020514629352686366,0.025295699057610258,False
utr3_all.YBX2,0.020428996056737085,0.014845220665383083,False
ejc_pm100.ERI1,0.02037867487188041,0.023282578771553725,False
newutr_all.SRSF9,0.020331059209833656,0.02867610369688841,False
utr3_all.ZRANB2,0.020258129332967164,0.02554442202653825,False
utr3_all.PUM2,0.020240139421526592,0.040480278843053184,False
utr3_all.SART3,0.020011672938016468,0.02593990688641298,False
utr3_all.SSB,0.01967713033341871,0.026123301403167657,False
utr3_200.HNRNPH2,0.019343339366880895,0.03868667873376178,False
ptc_to_ejc.HNRNPLL,0.019324555122203303,0.025488002379163398,False
ejc_pm100.NELFE,0.019314331164030286,0.017742370927332742,False
ptc_pm100.ENOX1,0.019290081710344853,0.016581218075097184,False
ejc_pm100.KHSRP,0.019097857468265294,0.025069032076898454,False
utr3_200.RC3H1,0.019085438605906804,0.017148413032617688,False
utr3_all.CPEB4,0.019055447859509866,0.03811089571901973,False
ejc_pm100.RC3H1,0.018980622585743605,0.01883566852775697,False
utr3_200.SSB,0.018942612854236478,0.016410141180669746,False
utr3_all.PABPC3,0.018463444340488792,0.02329381104678741,False
ptc_pm100.RC3H1,0.018458789190007076,0.03691757838001415,False
newutr_all.ELAVL3,0.018427554084689414,0.02257102063248559,False
ptc_to_ejc.HNRNPK,0.018281247968430364,0.023327533625911206,False
newutr_all.RBMS1,0.01816019560100975,0.0363203912020195,False
ejc_pm100.PCBP2,0.01814188830593346,0.03628377661186692,False
utr3_all.SRSF4,0.017990414752467786,0.022035495354542644,False
utr3_all.RALY,0.01797373805157927,0.022013755886598287,False
ptc_pm100.PCBP2,0.0178970966825502,0.024004644660312085,False
utr3_all.G3BP1,0.01781466232831257,0.02208174724770699,False
utr3_all.FXR2,0.01777093418723198,0.02178823925750245,False
ptc_pm100.RBM4,0.017681987010871585,0.024556061404702463,False
utr3_all.SFPQ,0.017669747809820256,0.03533949561964051,False
ptc_to_ejc.ELAVL1,0.01751861960688118,0.015077078888961459,False
newutr_200.ELAVL4,0.017460257947268493,0.034920515894536985,False
ptc_pm100.EIF4B,0.017407927218782763,0.034815854437565526,False
