feature,mean_abs_shap
utr3_200.SRSF1,0.0007152486937536756
newutr_200.SAMD4A,0.0007139275662343131
ejc_pm100.PABPC1,0.0007113039581174271
newutr_all.EIF4B,0.000710785984439599
newutr_200.SRSF9,0.0007077373292169304
ejc_pm100.TRA2B,0.0007054473481614148
ejc_pm100.NELFE,0.0007044174214125151
utr3_all.ZFP36L2,0.0006981187847165173
utr3_200.MATR3,0.0006956623307245429
ptc_pm100.ENOX1,0.0006739749226401765
utr3_all.CPEB4,0.00067274159286274
utr3_200.HNRNPA1,0.0006681389710559398
utr3_200.AGO2,0.0006676092484098698
ejc_pm100.TIAL1,0.0006643129167037727
utr3_all.SRSF10,0.0006601809382894133
newutr_200.HNRNPH1,0.0006514613971824584
utr3_all.AGO1,0.0006489574355678426
newutr_200.RBM5,0.000641490660270768
newutr_all.PABPC1,0.0006379660613061811
newutr_200.ZC3H10,0.000636698026165669
utr3_200.SNRPA,0.0006314408450037064
ptc_to_ejc.SNRPA,0.0006314238712434478
newutr_all.RBM28,0.0006310544455127544
newutr_all.HNRNPA1L2,0.0006289302890425947
newutr_all.PCBP2,0.0006167727319112653
newutr_200.ENOX1,0.0006039681702046865
utr3_all.SRSF4,0.0006032768310806942
ptc_to_ejc.HNRNPK,0.000596209394966249
newutr_200.HNRNPH3,0.0005942165577096924
newutr_200.PUM1,0.0005941132547396903
newutr_200.FMR1,0.0005915659279355928
ptc_pm100.SRSF2,0.0005900559427947896
utr3_all.HNRNPM,0.0005894038742977133
newutr_all.ENOX1,0.0005867456786296571
ejc_pm100.ZRANB2,0.0005846891349294736
utr3_200.RBFOX1,0.0005844270499776805
ptc_pm100.CELF1,0.0005831485999654725
newutr_200.ELAVL1,0.0005774983157743703
ejc_pm100.LIN28A,0.0005772958389675881
ptc_to_ejc.NOVA2,0.0005764762344781252
newutr_200.NELFE,0.0005749206972005375
newutr_all.HNRNPK,0.0005742605437020393
newutr_200.PABPC1,0.0005730599951376585
utr3_all.CELF4,0.000569092251324646
ptc_pm100.HNRNPK,0.0005682035656573705
ptc_to_ejc.CELF1,0.0005653806726268594
newutr_all.SNRPA,0.000564790441041246
ptc_pm100.SART3,0.000564140126614161
newutr_all.RBM25,0.0005640670996388156
utr3_200.RBM41,0.000557024908713679
newutr_all.RALY,0.0005569165850211952
ptc_pm100.HNRNPAB,0.0005563710119260842
utr3_all.RBM46,0.0005538974695083953
newutr_200.SRSF4,0.0005407135955607889
utr3_all.AGO2,0.000540346103136322
ejc_pm100.CELF6,0.0005400077474154868
utr3_200.ZRANB2,0.0005344587295101455
ptc_to_ejc.PUM1,0.0005338616375212303
ptc_pm100.SRSF9,0.0005284297358552188
ptc_to_ejc.RBFOX1,0.0005272647426028119
utr3_200.ELAVL1,0.000517999101884949
ptc_to_ejc.PCBP2,0.0005166207281362709
newutr_all.YBX1,0.0005153790119367468
utr3_all.ENOX1,0.0005133986051786344
ejc_pm100.SNRPA,0.0005117212111036677
utr3_all.RBMS1,0.0005111179048049
ptc_to_ejc.SRSF5,0.0004983952508792454
newutr_all.HNRNPH3,0.0004963808237522395
